Energy1,Fat,Saturated Fat,MUFA,PUFA,Omega,Carbohydrates,Sugar,category,Name,x,y,Trustworthiness,Continuity,MRRE_False,MRRE_Missing,Neighborhood_Hit,accuracy
324.0,0.27,0.108,0.0,0.0,0.0,76.6,63.4,Fruit,EC Organic Dried Banana Wholes,95.80291,-103.23864,0.9571428571428572,0.9,0.9591344497277927,0.9444990007580456,1.0,0.9401940769071739
324.0,0.27,0.108,0.0,0.0,0.0,76.6,63.4,Fruit,EC Organic Dried Banana Chunks,95.80291,-103.23864,0.9571428571428572,0.9,0.9591344497277927,0.9444990007580456,1.0,0.9401940769071739
324.0,4.71,0.51,0.0,0.0,0.0,43.3,41.6,Fruit,EC Organic Dried Goldenberries Natural,-9.287674,-39.22102,0.77,0.9171428571428571,0.885621252842671,0.9481944731582937,0.8571428571428571,0.8802396457859556
326.0,0.51,0.0,0.0,0.0,0.0,80.4,69.3,Fruit,US Sweetened Dried Cranberries BFF Pomegranate Sliced,133.2201,-96.189476,0.9214285714285715,0.9728571428571429,0.9105592309282613,0.967438494934877,1.0,0.9430708600372132
49.0,0.12,0.03,0.0,0.0,0.0,11.9,8.2,Fruit,"CA Wild Blueberry Puree 9° Brix, Frozen",-120.15192,-85.86128,1.0014285714285713,0.9928571428571429,0.9720126111225966,0.961158776100889,1.0,0.9818642753773
49.0,0.12,0.03,0.0,0.0,0.0,11.9,8.2,Fruit,"CA Wild Blueberries IQF Grade A, 30LB",-120.15192,-85.86128,1.0014285714285713,0.9928571428571429,0.9720126111225966,0.961158776100889,1.0,0.9818642753773
312.0,6.8,1.2,0.0,0.0,0.0,46.7,43.6,Fruit,CO Dried Goldenberries Pineapple Juice Infused,18.987673,-14.740443,0.81,0.9171428571428571,0.8763351939907656,0.9452139756047137,0.8571428571428571,0.8871730066845842
330.0,0.0,0.0,0.0,0.0,0.0,78.0,47.0,Fruit,"Thailand Dried Small Banana Dices, 8 - 10mm, No Sugar, max.10 ppm w/o SO2",71.247025,-49.796272,0.9342857142857143,0.9014285714285715,0.8863189993797809,0.8843463579353594,1.0,0.9015949107573565
350.0,0.0,0.0,0.0,0.0,0.0,86.0,81.0,Fruit,"Thailand Dried Pineapple Core Dices 5-6mm, Regular Sugar, max.10 ppm w/o SO2",203.61214,-160.3915,0.9614285714285714,0.95,0.9366859623733719,0.9027375783888085,1.0,0.937713028047688
351.0,4.27,0.81,0.0,0.0,0.0,71.6,42.2,Fruit,EC Goldenberries Dried Diced,50.404316,-83.13718,0.9071428571428571,0.9285714285714286,0.9365825925160223,0.9575580594032114,1.0,0.9324637344083798
